German,English
Teil,part
Geschichte,history
Suche,search
nur,only
Polizei,police
Gedanke,thought
Hilfe,help
Anfrage,request
nett,kind
Monat,month
Bruder,brother
lassen,let
weil,because
stellen,to put
nein,no
Leine,leash
sie,them
Stadt,city
jeder,each
sprechen,speak
komnmen,to come
sollte,should
Baby,baby
lange Zeit,long time
Stunden,hours
werden,will
während,while
noch einmal treffen,meet again
irgendein,any
Quadrat,square
verstanden,understood
wusste,knew
wurden,were
Warnung,Warning
hier ist,here is
könnten,could
Fall,case
geben,give
Art,type
ihr,their
gegeben,given
Zug,train
Körper,body
Ort,place
Augen,eyes
Weg,way
zuhören,listen
deren,whose
finden,find
zuerst,first
hat verloren,lost
Hand,hand
Seite,side
Leistung,power
alt,old
sein,be
hier,here
Morgen,morning
so sehr,so much
Kind,child
Punkt,point
kam,came
nach,after
Entschuldigung,excuse me
vor,in front of
gegenüber,towards
Minuten,minutes
Schlafzimmer,bedroom
platziert,placed
schön,beautiful
Recht,law
würde gerne,would like to
heute,today
Mann,husband
Ursache,cause
schließlich,finally
Hoffnung,hope
Wasser,water
warten,wait
links,left
neu,new
Job,job
halt,stop
würde sagen,would say
Erde,Earth
Konto,account
weit,far
Ende,end
glauben,believe
Schatz,sweetheart
groß,large
lieber,rather
werde haben,will have
Mädchen,girls
spielen,to play
Büro,office
